ID,title,author_ID,genre,publishedAt,pageCount,price,createdAt,createdBy,modifiedAt,modifiedBy
26907975-dc48-4716-af39-bd463fe9ac2f,"The Silent Forest",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Fiction",2018-04-12,340,49.99,2014-12-29T00:00:00.000Z,SYSTEM,2014-12-29T00:00:00.000Z,SYSTEM
26907976-2ae7-4f05-85bd-a44e6a64152a,"A Brief History of Space",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Science",2021-09-01,280,69.99,2006-11-23T00:00:00.000Z,SYSTEM,2008-08-08T00:00:00.000Z,SYSTEM
26907977-db44-4a41-b577-7a24fa669b2b,"Cooking with Fire",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Cooking",2020-02-17,220,39.99,2012-01-02T00:00:00.000Z,SYSTEM,2005-06-10T00:00:00.000Z,SYSTEM
26907978-9da9-4eff-8b26-2cb2a759f044,"Winds of the North",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Fantasy",2019-11-03,410,59.90,2009-09-20T00:00:00.000Z,SYSTEM,2020-01-09T00:00:00.000Z,SYSTEM
26907979-3244-4fb8-9e07-a14312817262,"Gardening for Beginners",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Hobby",2022-06-22,180,34.50,2016-04-07T00:00:00.000Z,SYSTEM,2015-10-20T00:00:00.000Z,SYSTEM
26907980-4bc5-42de-a842-1234abcd5678,"The Lost Empire",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Adventure",2017-08-14,360,54.99,2018-03-11T00:00:00.000Z,SYSTEM,2020-07-19T00:00:00.000Z,SYSTEM
26907981-9fd8-47ab-b621-5678efgh1234,"Mindful Living",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Self-Help",2023-03-02,250,42.00,2021-02-15T00:00:00.000Z,SYSTEM,2023-05-20T00:00:00.000Z,SYSTEM
26907982-ab12-4fef-8f2d-7890ijkl5678,"The Ocean Below",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Non-Fiction",2021-12-09,310,64.90,2017-09-01T00:00:00.000Z,SYSTEM,2022-04-18T00:00:00.000Z,SYSTEM
26907983-cd34-4e12-b9cd-9012mnop3456,"Secrets of Architecture",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Art",2016-05-27,295,79.00,2011-06-14T00:00:00.000Z,SYSTEM,2018-09-30T00:00:00.000Z,SYSTEM
26907984-ef56-4d78-a321-3456qrst7890,"Deep Sea Tales",22506581-ad99-41d6-9fdd-e42ad75bf68d,"Children",2024-01-11,150,29.99,2023-01-10T00:00:00.000Z,SYSTEM,2024-01-15T00:00:00.000Z,SYSTEM
