book_ID,ID,number,createdAt,createdBy,modifiedAt,modifiedBy
26907975-dc48-4716-af39-bd463fe9ac2f,11167220-90a1-4915-929e-082686a99515,23,2015-12-30T00:00:00.000Z,createdBy.6ncok@example.com,2006-01-12T00:00:00.000Z,modifiedBy.6ncok@example.org
26907975-dc48-4716-af39-bd463fe9ac2f,11167221-cc75-480d-90bb-22cf94c9c9ab,64,2005-02-03T00:00:00.000Z,createdBy.6ncol@example.net,2021-11-24T00:00:00.000Z,modifiedBy.6ncol@example.org
26907976-2ae7-4f05-85bd-a44e6a64152a,94155399-bd55-4e5b-a98c-ce64b774e0c5,61,2008-03-10T00:00:00.000Z,createdBy.5lt2r@example.org,2011-10-17T00:00:00.000Z,modifiedBy.5lt2r@example.org
26907976-2ae7-4f05-85bd-a44e6a64152a,94155403-5358-4353-982f-70be36948996,7,2017-04-10T00:00:00.000Z,createdBy.5lt2s@example.net,2004-04-18T00:00:00.000Z,modifiedBy.5lt2s@example.net
26907977-db44-4a41-b577-7a24fa669b2b,7608816b-4e70-4c8b-9530-14e18ec17888,11,2007-08-31T00:00:00.000Z,createdBy.4j300@example.org,2015-03-04T00:00:00.000Z,modifiedBy.4j300@example.net
26907977-db44-4a41-b577-7a24fa669b2b,76088179-24a6-4ebe-9123-fff130365357,70,2016-09-24T00:00:00.000Z,createdBy.4j301@example.org,2001-11-09T00:00:00.000Z,modifiedBy.4j301@example.net
26907978-9da9-4eff-8b26-2cb2a759f044,3723703e-6c81-49a7-9624-fa5f712208c0,71,2004-03-30T00:00:00.000Z,createdBy.7zbm@example.net,2012-12-12T00:00:00.000Z,modifiedBy.7zbm@example.org
26907978-9da9-4eff-8b26-2cb2a759f044,372371d8-7e0a-4fa8-b2cb-8ac264f8c907,16,2001-11-21T00:00:00.000Z,createdBy.7zbn@example.net,2001-06-27T00:00:00.000Z,modifiedBy.7zbn@example.com
26907979-3244-4fb8-9e07-a14312817262,93592437-c641-43f6-934e-aaa1472b61f1,80,2017-11-21T00:00:00.000Z,createdBy.5klmz@example.net,2017-08-16T00:00:00.000Z,modifiedBy.5klmz@example.net
26907979-3244-4fb8-9e07-a14312817262,93592441-c223-481f-8a62-6907a19c7c0b,93,2003-04-23T00:00:00.000Z,createdBy.5kln0@example.com,2011-11-13T00:00:00.000Z,modifiedBy.5kln0@example.net
